#,,Character,,Body,,Tires,,Gliders,Speed Ground,Speed Water,Speed Air,Speed Anti-Gravity,Acceleration,Weight,Handling Ground,Handling Water,Handling Air,Handling Anti-Gravity,Traction,MiniTurbo,Stats total,Speed + MT total
3609,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.25,4,4.5,3.5,4,2.75,3.75,3.5,3.75,4.25,3.75,4.75,45.75,8
3611,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.25,3.75,4.5,3.75,4,3,3.75,3.75,3.75,4,3.5,4.75,45.75,8
3612,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,3.75,4.25,3.75,4.25,2.75,3.75,3.75,4,4,3.5,5,45.75,8
3674,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.25,3.75,4.25,3.75,4.25,2.75,4,3.25,4.25,3.75,3.75,4.75,45.75,8
3681,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3,3.75,4.5,3,4.5,2.5,4.25,3.5,4.25,4,3.5,5,45.75,8
3683,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3,3.5,4.5,3.25,4.5,2.75,4.25,3.75,4.25,3.75,3.25,5,45.75,8
3684,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.75,3.5,4.25,3.25,4.75,2.5,4.25,3.75,4.5,3.75,3.25,5.25,45.75,8
4618,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.25,4.25,4.5,4,4,3,3.5,3.25,3.75,4,3.5,4.75,45.75,8
4690,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3,4,4.5,3.5,4.5,2.75,4,3.25,4.25,3.75,3.25,5,45.75,8
5050,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.25,4.25,4.25,3.5,4.25,2.75,4,3.5,4.25,4,3,4.75,45.75,8
6130,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4.5,4.75,4.25,3.75,3.25,3.25,3,3.5,3.75,3.75,4.5,45.75,8
6202,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.25,4.25,4.75,3.75,4.25,3,3.75,3,4,3.5,3.5,4.75,45.75,8
3601,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,4,4.5,4,3.5,3.25,3.5,3.25,3.5,4,4,4.25,45.5,8
3603,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,3.75,4.5,4.25,3.5,3.5,3.5,3.5,3.5,3.75,3.75,4.25,45.5,8
3604,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,3.75,4.25,4.25,3.75,3.25,3.5,3.5,3.75,3.75,3.75,4.5,45.5,8
3673,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",3.5,3.75,4.5,3.5,4,3,4,3.25,4,3.75,3.75,4.5,45.5,8
3675,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.5,3.5,4.5,3.75,4,3.25,4,3.5,4,3.5,3.5,4.5,45.5,8
3676,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,3.5,4.25,3.75,4.25,3,4,3.5,4.25,3.5,3.5,4.75,45.5,8
4610,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,4.25,4.5,4.5,3.5,3.5,3.25,3,3.5,3.75,3.75,4.25,45.5,8
4617,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.5,4.25,4.75,3.75,3.75,3.25,3.5,3.25,3.5,4,3.5,4.5,45.5,8
4619,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.5,4,4.75,4,3.75,3.5,3.5,3.5,3.5,3.75,3.25,4.5,45.5,8
4620,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,4,4.5,4,4,3.25,3.5,3.5,3.75,3.75,3.25,4.75,45.5,8
4682,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4,4.5,4,4,3.25,3.75,3,4,3.5,3.5,4.5,45.5,8
4689,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.25,4,4.75,3.25,4.25,3,4,3.25,4,3.75,3.25,4.75,45.5,8
4691,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.25,3.75,4.75,3.5,4.25,3.25,4,3.5,4,3.5,3,4.75,45.5,8
4692,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,3.75,4.5,3.5,4.5,3,4,3.5,4.25,3.5,3,5,45.5,8
5042,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,4.25,4.25,4,3.75,3.25,3.75,3.25,4,3.75,3.25,4.25,45.5,8
5049,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.5,4.25,4.5,3.25,4,3,4,3.5,4,4,3,4.5,45.5,8
5051,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.5,4,4.5,3.5,4,3.25,4,3.75,4,3.75,2.75,4.5,45.5,8
5052,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,4,4.25,3.5,4.25,3,4,3.75,4.25,3.75,2.75,4.75,45.5,8
5126,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,4,4.25,5,3,3.5,3.75,3.5,4,4,2.5,4,45.5,8
5198,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,3.75,4.25,4.5,3.5,3.25,4.25,3.5,4.5,3.75,2.25,4.25,45.5,8
6122,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,4.5,4.75,4.75,3.25,3.75,3,2.75,3.25,3.5,4,4,45.5,8
6129,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,4.5,5,4,3.5,3.5,3.25,3,3.25,3.75,3.75,4.25,45.5,8
6131,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,4.25,5,4.25,3.5,3.75,3.25,3.25,3.25,3.5,3.5,4.25,45.5,8
6132,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,4.25,4.75,4.25,3.75,3.5,3.25,3.25,3.5,3.5,3.5,4.5,45.5,8
6194,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,4.25,4.75,4.25,3.75,3.5,3.5,2.75,3.75,3.25,3.75,4.25,45.5,8
6201,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.5,4.25,5,3.5,4,3.25,3.75,3,3.75,3.5,3.5,4.5,45.5,8
6203,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.5,4,5,3.75,4,3.5,3.75,3.25,3.75,3.25,3.25,4.5,45.5,8
6204,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,4,4.75,3.75,4.25,3.25,3.75,3.25,4,3.25,3.25,4.75,45.5,8
3538,8,"Peach, Daisy, Yoshi, Birdo",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3,4,4,3.25,4.5,2.25,4,3.5,4.25,4,3.5,5,45.25,8
4609,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4,4.25,4.75,4.25,3.25,3.75,3.25,3,3.25,3.75,3.75,4,45.25,8
4611,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,4,4.75,4.5,3.25,4,3.25,3.25,3.25,3.5,3.5,4,45.25,8
4612,10,"Mario, Ludwig, Mii (Medium)",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,4,4.5,4.5,3.5,3.75,3.25,3.25,3.5,3.5,3.5,4.25,45.25,8
4681,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,4,4.75,3.75,3.75,3.5,3.75,3,3.75,3.5,3.5,4.25,45.25,8
4683,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,3.75,4.75,4,3.75,3.75,3.75,3.25,3.75,3.25,3.25,4.25,45.25,8
4684,10,"Mario, Ludwig, Mii (Medium)",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,3.75,4.5,4,4,3.5,3.75,3.25,4,3.25,3.25,4.5,45.25,8
5041,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4,4.25,4.5,3.75,3.5,3.5,3.75,3.25,3.75,3.75,3.25,4,45.25,8
5043,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,4,4.5,4,3.5,3.75,3.75,3.5,3.75,3.5,3,4,45.25,8
5044,11,"Luigi, Iggy",1,"Standard Kart, The Duke, 300 SL Roadster",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,4,4.25,4,3.75,3.5,3.75,3.5,4,3.5,3,4.25,45.25,8
5125,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",4,"Slim, Wood, Crimson Slim",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4,4.5,4.75,2.75,3.75,3.75,3.5,3.75,4,2.5,3.75,45.25,8
5127,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",4,"Slim, Wood, Crimson Slim",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,3.75,4.5,5,2.75,4,3.75,3.75,3.75,3.75,2.25,3.75,45.25,8
5128,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",4,"Slim, Wood, Crimson Slim",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3.75,4.25,5,3,3.75,3.75,3.75,4,3.75,2.25,4,45.25,8
5197,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",4,"Slim, Wood, Crimson Slim",1,"Super Glider, Waddle Wing, Hylian Kite",4,3.75,4.5,4.25,3.25,3.5,4.25,3.5,4.25,3.75,2.25,4,45.25,8
5199,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",4,"Slim, Wood, Crimson Slim",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,3.5,4.5,4.5,3.25,3.75,4.25,3.75,4.25,3.5,2,4,45.25,8
5200,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",4,"Slim, Wood, Crimson Slim",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,3.5,4.25,4.5,3.5,3.5,4.25,3.75,4.5,3.5,2,4.25,45.25,8
6121,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4.25,4.5,5,4.5,3,4,3,2.75,3,3.5,4,3.75,45.25,8
6123,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4.25,4.25,5,4.75,3,4.25,3,3,3,3.25,3.75,3.75,45.25,8
6124,13,"Rosalina, Link, King Boo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,4.25,4.75,4.75,3.25,4,3,3,3.25,3.25,3.75,4,45.25,8
6193,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4,4.25,5,4,3.5,3.75,3.5,2.75,3.5,3.25,3.75,4,45.25,8
6195,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,4,5,4.25,3.5,4,3.5,3,3.5,3,3.5,4,45.25,8
6196,13,"Rosalina, Link, King Boo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,4,4.75,4.25,3.75,3.75,3.5,3,3.75,3,3.5,4.25,45.25,8
3530,8,"Peach, Daisy, Yoshi, Birdo",1,"Standard Kart, The Duke, 300 SL Roadster",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4,4,3.75,4,2.75,3.75,3.25,4,3.75,3.75,4.5,45,8
3537,8,"Peach, Daisy, Yoshi, Birdo",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.25,4,4.25,3,4.25,2.5,4,3.5,4,4,3.5,4.75,45,8
3539,8,"Peach, Daisy, Yoshi, Birdo",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.25,3.75,4.25,3.25,4.25,2.75,4,3.75,4,3.75,3.25,4.75,45,8
3540,8,"Peach, Daisy, Yoshi, Birdo",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,3.75,4,3.25,4.5,2.5,4,3.75,4.25,3.75,3.25,5,45,8
3614,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,3.75,4,4.75,3.25,3,3.75,3.5,4,4,3,4.25,45,8
3686,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",4,"Slim, Wood, Crimson Slim",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,3.5,4,4.25,3.75,2.75,4.25,3.5,4.5,3.75,2.75,4.5,45,8
4546,10,"Mario, Ludwig, Mii (Medium)",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.25,4.25,4.25,3.5,4.25,2.75,3.75,3.25,4,3.75,3.25,4.75,45,8
5138,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",7,"Button, Leaf Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4,4.25,4.5,3.75,3,3.5,3.25,3.5,4.25,3,4.5,45,8
5210,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",7,"Button, Leaf Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.25,3.75,4.25,4,4.25,2.75,4,3.25,4,4,2.75,4.75,45,8
5482,11,"Luigi, Iggy",13,"Blue Falcon, Splat Buggy",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4,4.25,3.75,4,2.25,3.75,3.75,3.75,4.5,3,4.5,45,8
6058,13,"Rosalina, Link, King Boo",1,"Standard Kart, The Duke, 300 SL Roadster",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4.5,4.5,3.75,4,3,3.5,3,3.75,3.5,3.5,4.5,45,8
6634,14,"Donkey Kong, Waluigi, Roy",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,4.75,5,4.5,3.75,3.5,3,2.75,3.25,3.5,3,4.25,45,8
6706,14,"Donkey Kong, Waluigi, Roy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4.5,5,4,4.25,3.25,3.5,2.75,3.75,3.25,2.75,4.5,45,8
7138,15,"Wario, Dry Bowser",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",4,5,5.25,4.75,3.5,3.75,2.75,2.5,3,3.25,3.25,4,45,8
